REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
3,5,54,01779805,54,WV,West Virginia,00,G4000,A,62266231560,489271086,+38.6472854,-080.6183274
3,5,12,00294478,12,FL,Florida,00,G4000,A,138947364717,31362872853,+28.4574302,-082.4091477
2,3,17,01779784,17,IL,Illinois,00,G4000,A,143779863817,6215723896,+40.1028754,-089.1526108
2,4,27,00662849,27,MN,Minnesota,00,G4000,A,206230065476,18942261495,+46.3159573,-094.1996043
3,5,24,01714934,24,MD,Maryland,00,G4000,A,25151726296,6979340970,+38.9466584,-076.6744939
1,1,44,01219835,44,RI,Rhode Island,00,G4000,A,2677787140,1323663210,+41.5974187,-071.5272723
4,8,16,01779783,16,ID,Idaho,00,G4000,A,214049897859,2391604238,+44.3484222,-114.5588538
1,1,33,01779794,33,NH,New Hampshire,00,G4000,A,23189198255,1026903434,+43.6726907,-071.5843145
3,5,37,01027616,37,NC,North Carolina,00,G4000,A,125925929633,13463401534,+35.5397100,-079.1308636
1,1,50,01779802,50,VT,Vermont,00,G4000,A,23874197924,1030383955,+44.0685773,-072.6691839
1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12542497381,1815617293,+41.5798637,-072.7466572
3,5,10,01779781,10,DE,Delaware,00,G4000,A,5046620081,1399291164,+38.9985661,-075.4416440
4,8,35,00897535,35,NM,New Mexico,00,G4000,A,314197253999,727781442,+34.4346843,-106.1316181
4,9,06,01779778,06,CA,California,00,G4000,A,403660088482,20305454540,+37.1551773,-119.5434183
1,2,34,01779795,34,NJ,New Jersey,00,G4000,A,19048848841,3543837357,+40.1072744,-074.6652012
2,3,55,01779806,55,WI,Wisconsin,00,G4000,A,140293020078,29344176961,+44.6309071,-089.7093916
4,9,41,01155107,41,OR,Oregon,00,G4000,A,248607777514,6191602576,+43.9717125,-120.6229578
2,4,31,01779792,31,NE,Nebraska,00,G4000,A,198953801353,1374686302,+41.5433053,-099.8118646
1,2,42,01779798,42,PA,Pennsylvania,00,G4000,A,115880457407,3398574954,+40.9046013,-077.8275298
4,9,53,01779804,53,WA,Washington,00,G4000,A,172117954267,12549727444,+47.4073238,-120.5757999
3,7,22,01629543,22,LA,Louisiana,00,G4000,A,111899106382,23752001883,+30.8634368,-091.7987173
3,5,13,01705317,13,GA,Georgia,00,G4000,A,149484604230,4420380296,+32.6295789,-083.4235109
3,6,01,01779775,01,AL,Alabama,00,G4000,A,131174192284,4593183334,+32.7396323,-086.8434593
4,8,49,01455989,49,UT,Utah,00,G4000,A,213355135666,6529910339,+39.3349925,-111.6563326
2,3,39,01085497,39,OH,Ohio,00,G4000,A,105823701267,10274036690,+40.4149297,-082.7119975
3,7,48,01779801,48,TX,Texas,00,G4000,A,676668210823,18991880422,+31.4347032,-099.2818238
4,8,08,01779779,08,CO,Colorado,00,G4000,A,268419875371,1184637800,+38.9938482,-105.5083165
3,5,45,01779799,45,SC,South Carolina,00,G4000,A,77864659170,5075874513,+33.8741776,-080.8542639
3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,177662675149,3374950118,+35.5900512,-097.4868149
3,6,47,01325873,47,TN,Tennessee,00,G4000,A,106805839178,2347012319,+35.8608030,-086.3499896
4,8,56,01779807,56,WY,Wyoming,00,G4000,A,251458578211,1867637632,+42.9896591,-107.5443922
4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634006436,11777792811,+19.5977643,-155.5024434
2,4,38,01779797,38,ND,North Dakota,00,G4000,A,178695635183,4411365971,+47.4421740,-100.4608258
3,6,21,01779786,21,KY,Kentucky,00,G4000,A,102282218059,2372611005,+37.5336844,-085.2929801
9,0,78,01802710,78,VI,United States Virgin Islands,00,G4000,A,348021896,1550236199,+18.3267480,-064.9712508
9,0,69,01779809,69,MP,Commonwealth of the Northern Mariana Islands,00,G4000,A,472292529,4644252458,+14.9367835,+145.6010210
9,0,66,01802705,66,GU,Guam,00,G4000,A,543555844,934337453,+13.4417451,+144.7719021
1,1,23,01779787,23,ME,Maine,00,G4000,A,79887659040,11745717739,+45.4092843,-068.6666160
1,2,36,01779796,36,NY,New York,00,G4000,A,122050000805,19246143659,+42.9133974,-075.5962723
4,8,32,01779793,32,NV,Nevada,00,G4000,A,284537049864,1839662829,+39.3310928,-116.6151469
4,9,02,01785533,02,AK,Alaska,00,G4000,A,1478927050067,245394222619,+63.3473560,-152.8397334
9,0,60,01802701,60,AS,American Samoa,00,G4000,A,197759069,1307243751,-14.2671590,-170.6682674
2,3,26,01779789,26,MI,Michigan,00,G4000,A,146608689865,103878116983,+44.8441768,-085.6604907
3,7,05,00068085,05,AR,Arkansas,00,G4000,A,134776580080,2956395922,+34.8955256,-092.4446262
3,6,28,01779790,28,MS,Mississippi,00,G4000,A,121536584987,3923863925,+32.6864714,-089.6561377
2,4,29,01779791,29,MO,Missouri,00,G4000,A,178049911275,2489250399,+38.3507500,-092.4567826
4,8,30,00767982,30,MT,Montana,00,G4000,A,376966832749,3869031338,+47.0511771,-109.6348174
2,4,20,00481813,20,KS,Kansas,00,G4000,A,211753474780,1346010601,+38.4985464,-098.3834298
2,3,18,00448508,18,IN,Indiana,00,G4000,A,92790048198,1537252652,+39.9013136,-086.2919129
9,0,72,01779808,72,PR,Puerto Rico,00,G4000,A,8868701898,4922576715,+18.2176480,-066.4107992
2,4,46,01785534,46,SD,South Dakota,00,G4000,A,196346195316,3383460688,+44.4467957,-100.2381762
1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20204387828,7130663019,+42.1565196,-071.4895915
3,5,51,01779803,51,VA,Virginia,00,G4000,A,102258306285,8527942672,+37.5222512,-078.6681938
3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158340389,18687196,+38.9042474,-077.0165167
2,4,19,01779785,19,IA,Iowa,00,G4000,A,144660467237,1084981626,+42.0700243,-093.4933473
4,8,04,01779777,04,AZ,Arizona,00,G4000,A,294360282618,859561204,+34.2039355,-111.6063565